Description,UPC,Promo_Price,Retail_Price,List_Price,Manufacturer,Category,Count,Multiplier,Retailer
Nature's Truth Apple Cider Vinegar Gummies 600 mg,8.40093E+11,12.72,18.99,8.69,PIPING ROCK,"VITAMINS, MINERALS & SUPPLEMENTS",75,1424.25,Walgreens
Nature's Truth Apple Cider Vinegar Gummies 600 mg,8.40093E+11,12.72,18.99,8.69,PIPING ROCK,"VITAMINS, MINERALS & SUPPLEMENTS",75,1424.25,Walgreens
"Nature's Truth Extra Strength Melatonin Gummies, 10 mg, 70 CT",8.40093E+11,,15.99,8.09,PIPING ROCK,"VITAMINS, MINERALS & SUPPLEMENTS",70,1119.3,CVS
Nature's Truth Sambucus Black Elderberry,8.40093E+11,,14.49,8.25,PIPING ROCK,"VITAMINS, MINERALS & SUPPLEMENTS",1,14.49,CVS
"Nature's Truth Turmeric Curcumin Softgels, 1600 mg, 60 CT",8.40093E+11,,20.49,11.34,PIPING ROCK,"VITAMINS, MINERALS & SUPPLEMENTS",60,1229.4,CVS
Nature's Truth 100% Pure Australian Tea Tree Oil,8.40093E+11,,17.49,9.85,PIPING ROCK,"VITAMINS, MINERALS & SUPPLEMENTS",2,34.98,CVS
"Nature's Truth Eucalyptus Mist Spray, 2.4 OZ",8.40093E+11,,7.99,4.38,PIPING ROCK,BATH PRODUCTS,2.4,19.176,CVS
"Nature's Truth High Potency Magnesium, 400 mg",8.40093E+11,,16.49,7.3,PIPING ROCK,"VITAMINS, MINERALS & SUPPLEMENTS",72,1187.28,CVS
"Nature's Truth Super Fruits & Veggies Capsules, 60 CT",8.40093E+11,,14.99,8.9,PIPING ROCK,"VITAMINS, MINERALS & SUPPLEMENTS",60,899.4,CVS
Nature's Truth Oil of Oregano 3000 mg,8.40093E+11,,13.79,6.97,PIPING ROCK,"VITAMINS, MINERALS & SUPPLEMENTS",90,1241.1,CVS
Nature's Truth Ultra K-2 Complex,8.40093E+11,,14.99,8.19,PIPING ROCK,VITAMINS,50,749.5,CVS
"Nature's Truth Gorgeous Hair, Skin & Nails Gummies with Biotin, 2,500 MCG",8.40093E+11,,14.79,7.76,PIPING ROCK,"VITAMINS, MINERALS & SUPPLEMENTS",80,1183.2,CVS
"Nature's Truth Melatonin Tablets, 12 mg, 60 CT",8.40093E+11,,16.79,7.9,PIPING ROCK,"VITAMINS, MINERALS & SUPPLEMENTS",60,1007.4,CVS
"Nature's Truth Horny Goat Weed with MACA Vegetarian Capsules, 60 CT",8.40093E+11,,17.79,7.64,PIPING ROCK,"VITAMINS, MINERALS & SUPPLEMENTS",60,1067.4,CVS
Nature's Truth Horny Goat Weed with Maca,8.40093E+11,8.03,11.99,7.64,PIPING ROCK,"VITAMINS, MINERALS & SUPPLEMENTS",60,719.4,Walgreens
"Nature's Truth Vitamin C 1,000 mg with Bioflavonoids & Wild Rose Hips",8.40093E+11,,15.99,8.57,PIPING ROCK,VITAMINS,100,1599,CVS
Nature's Truth High Strength Odorless Garlic,8.40093E+11,,12.49,5.91,PIPING ROCK,"VITAMINS, MINERALS & SUPPLEMENTS",120,1498.8,CVS
"Nature's Truth Melatonin Tablets, 5 mg, 90 CT",8.40093E+11,,12.49,6,PIPING ROCK,"VITAMINS, MINERALS & SUPPLEMENTS",90,1124.1,CVS
"Nature's Truth Iron Supplement, 65 mg, 120 CT",8.40093E+11,,9.99,4.62,PIPING ROCK,"VITAMINS, MINERALS & SUPPLEMENTS",120,1198.8,CVS
"Nature's Truth High Potency Vitamin D3 Softgels, 50 mcg, 150 CT",8.40093E+11,,13.49,6.98,PIPING ROCK,VITAMINS,100,1349,CVS
"Nature's Truth Fast Dissolve Methylcobalamin Vitamin B-12, 5,000 MCG",8.40093E+11,,19.79,10.5,PIPING ROCK,VITAMINS,60,1187.4,CVS
"Nature's Truth Triple Strength Cranberry Concentrate 15,000 mg plus Vitamin C, 90 CT",8.40093E+11,,22.49,10.95,PIPING ROCK,"VITAMINS, MINERALS & SUPPLEMENTS",90,2024.1,CVS
Nature's Truth Maximum Strength Melatonin plus L-Theanine,8.40093E+11,,17.99,8.99,PIPING ROCK,"VITAMINS, MINERALS & SUPPLEMENTS",72,1295.28,CVS
"Nature's Truth Alpha Lipoic Acid 300mg Quick Release Capsules, 60 CT",8.40093E+11,,20.99,10.15,PIPING ROCK,"VITAMINS, MINERALS & SUPPLEMENTS",60,1259.4,CVS
"Nature's Truth High Potency Vitamin D Softgels, 250 mcg, 100 CT",8.40093E+11,,18.49,9.34,PIPING ROCK,VITAMINS,100,1849,CVS
"Irwin Testosterone Up Pro Growth, 60 CT",8.40081E+11,,34.99,20.99,IRWIN NATURL,SEXUAL WELLNESS,60,2099.4,CVS
"Irwin Energy & Endurance Testosterone Up Men 40+, 60 CT",8.40081E+11,,34.99,20.99,IRWIN NATURL,"VITAMINS, MINERALS & SUPPLEMENTS",60,2099.4,CVS
"Irwin Gut To Brain Hunger Control, 60 CT",8.40081E+11,,27.99,16.79,IRWIN NATURL,WT CTL/NUTRITION - CANDY TABLETS,60,1679.4,CVS
"Irwin Power Male Horny Goat Weed With Nitric Oxide Booster, 60 CT",8.40081E+11,,19.99,11.99,IRWIN NATURL,"VITAMINS, MINERALS & SUPPLEMENTS",60,1199.4,CVS
"Irwin Testosterone Up Strength & Size, 60 CT",8.40081E+11,,34.99,20.99,IRWIN NATURL,SEXUAL WELLNESS,60,2099.4,CVS
"Irwin Sensual Woman Endurance Stress Libido, 60 CT",8.40081E+11,,27.99,16.79,IRWIN NATURL,SEXUAL WELLNESS,60,1679.4,CVS
"Irwin Next Level Steel Libico X2 Maca & L Arginine, 75 CT",8.40081E+11,,29.99,17.99,IRWIN NATURL,SEXUAL WELLNESS,75,2249.25,CVS
"Irwin 10 Day Acai Super Cleanse, 60 CT",8.40081E+11,,19.99,11.99,IRWIN NATURL,WT CTL/NUTRITION - CANDY TABLETS,60,1199.4,CVS
Irwin Naturals Testosterone Mega-Boost Red Liquid Soft-gels,8.40081E+11,,30.49,16.79,IRWIN NATURL,SEXUAL WELLNESS,56,1707.44,CVS
"Irwin Naturals Daily Multi Testosterone Up Liquid Soft-gels, 60 CT",8.40081E+11,,34.79,17.99,IRWIN NATURL,SEXUAL WELLNESS,60,2087.4,CVS
"Irwin Naturals Magnesium + Ashwagandha Liquid Soft-gels, 60 CT",8.40081E+11,,23.99,13.19,IRWIN NATURL,"VITAMINS, MINERALS & SUPPLEMENTS",60,1439.4,CVS
Irwin Naturals L-Arginine + Horny Goat Weed Soft-Gels,8.40081E+11,19.49,25.99,14.99,IRWIN NATURL,SEXUAL WELLNESS,75,1949.25,Walgreens
"Irwin Naturals Fenugreek RED Soft-gels, 60 CT",8.40081E+11,,32.99,19.79,IRWIN NATURL,SEXUAL WELLNESS,60,1979.4,CVS
Irwin Naturals Libido-Max for Active Men Liquid Soft Gels,8.40081E+11,14.99,19.99,13.19,IRWIN NATURL,WT CTL/NUTRITION - CANDY TABLETS,60,1199.4,Walgreens
"eos 100%  4-Pack Lip Balm Sticks, Natural Fruity Variety, 4 Pack",8.40045E+11,,10.79,6.6,EOS PRODUCTS,LIP PREPARATIONS,0.14,1.5106,CVS
"eos 100% Lip Balm Sticks, Natural Watermelon Frosé, 2 Pack",8.40045E+11,,5.59,3.35,EOS PRODUCTS,LIP PREPARATIONS,0.14,0.7826,CVS
"eos 100% Natural & Organic Lip Balm Variety Pack, 4 0.14 OZ Sticks",8.40045E+11,,10.79,6,EOS PRODUCTS,LIP PREPARATIONS,0.14,1.5106,CVS
"eos The Hero Extra Dry Lip Treatment, Natural Strawberry Extract, 24H Moisture Lip Repair, 0.35 fl oz, 2-Pack",8.40045E+11,,8.49,6,EOS PRODUCTS,LIP PREPARATIONS,0.35,2.9715,CVS
"eos Dry Lip Repair - Extra Dry Lip Treatment Strawberry, Strawberry",8.40045E+11,,5.99,3,EOS PRODUCTS,LIP PREPARATIONS,0.35,2.0965,Walgreens
"REACH Ultra Clean Soft Toothbrush with Cap, 1 CT",8.4004E+11,,1,0.76,PERRIGO CO,ORAL CARE - DENTAL ACCESSORIES,1,1,CVS
"REACH Essentials Soft Toothbrush, 2 CT",8.4004E+11,,1,0.75,PERRIGO CO,ORAL CARE - DENTAL ACCESSORIES,1,1,CVS
"Clearasil Rapid Rescue Deep Treatment Wash, 6.78 OZ",8.39977E+11,,9.49,5.54,RECKITT,SKIN CARE - ACNE,6.78,64.3422,CVS
"Clearasil Rapid Rescue Spot Acne Treatment Cream, 1 OZ",8.39977E+11,,12.99,6.77,RECKITT,SKIN CARE - ACNE,1,12.99,CVS
"Clearasil Stubborn Acne 5 In 1 Spot Treatment Cream, 1 OZ",8.39977E+11,,7.99,4.66,RECKITT,SKIN CARE - ACNE,1,7.99,CVS
"Clearasil Ultra Overnight Spot Patches, 18 CT",8.39977E+11,,14.49,7.12,RECKITT,SKIN CARE - ACNE,18,260.82,CVS
Clearasil Ultra Acne Control Treatment Facial Cleansing Daily Pads 5 in1 with Salicylic Acid,8.39977E+11,,9.99,5.61,RECKITT,SKIN CARE - ACNE,90,899.1,Walgreens
"Vega Sport Protein, 20.4 OZ",8.38766E+11,,42.49,19.95,UNIV NUTR,WT CTL/NUTRITION - LIQ/POWDER,20.4,866.796,CVS
"Vega Sport Protein, 20.4 OZ",8.38766E+11,,42.49,21.95,UNIV NUTR,WT CTL/NUTRITION - LIQ/POWDER,20.4,866.796,CVS
"Flexitol Heel Balm, Rich Moisturizing & Exfoliating Foot Cream",8.35787E+11,,12.99,6,LACORIUM HLT,FOOT CARE PRODUCTS,4,51.96,Walgreens
"Reserveage Sour Apple Collagen Candy Sticks, 20CT",8.35552E+11,,25.79,14.99,TWINLAB CORP,"VITAMINS, MINERALS & SUPPLEMENTS",20,515.8,CVS
eos Super Soft Shea Lip Balm Stick - Coconut Milk,8.32992E+11,,3.89,1.88,EOS PRODUCTS,LIP PREPARATIONS,0.14,0.5446,CVS
"eos Super Soft Shea Lip Balm Stick - Strawberry Peach, 0.14 OZ",8.32992E+11,,3.89,1.88,EOS PRODUCTS,LIP PREPARATIONS,0.14,0.5446,CVS
eos 100% Natural & Organic Lip Balm Stick,8.32992E+11,,3.89,1.88,EOS PRODUCTS,LIP PREPARATIONS,0.14,0.5446,CVS
"eos 100% Natural & Organic Lip Balm Stick - Vanilla Bean, 0.14 OZ",8.32992E+11,,3.89,1.88,EOS PRODUCTS,LIP PREPARATIONS,0.14,0.5446,CVS
"eos Shea Better Sensitive Shave Cream, Oatmeal, 7 OZ",8.32992E+11,,5.99,3.7,EOS PRODUCTS,SHAVE - CREAMS,7,41.93,CVS
"eos 100% Natural & Organic Lip Balm Stick - Vanilla Bean 2-pack, 0.14 OZ",8.32992E+11,,5.59,3.35,EOS PRODUCTS,LIP PREPARATIONS,0.28,1.5652,CVS
eos Natural Shea Lip Balm Coconut Milk,8.32992E+11,,4.99,2.3,EOS PRODUCTS,LIP PREPARATIONS,0.25,1.2475,Walgreens
eos Natural Shea Lip Balm Coconut Milk,8.32992E+11,,4.99,2.3,EOS PRODUCTS,LIP PREPARATIONS,0.25,1.2475,Walgreens
eos Natural Shea Lip Balm Coconut Milk,8.32992E+11,,4.99,2.3,EOS PRODUCTS,LIP PREPARATIONS,0.25,1.2475,Walgreens
"eos Super Soft Shea Lip Balm Sphere - Vanilla Mint, 0.25 OZ",8.32992E+11,,4.79,2.3,EOS PRODUCTS,LIP PREPARATIONS,0.25,1.1975,CVS
"Clavel Blue Stop Max Massage Gel, 16 OZ",8.32492E+11,,29.99,20.5,CLAVEL PROD,PAIN - ANALGESIC (EXTERNAL),16,479.84,CVS
"Dramamine Non-Drowsy Nausea Relief Ginger Soft Chews, 20 CT",8.31248E+11,,14.49,5.99,MEDTECH PROD,DIGESTIVE - LOWER GI,20,289.8,CVS
"Colgate Total Plaque Pro Release Anticavity, Antigingivitis, and Antisensitivity Toothpaste, Fresh Mint, 3 OZ",8.27854E+11,,8.29,7.34,COLGATE-PALM,ORAL CARE - TOOTHPASTE,3,24.87,CVS
"Colgate Total Plaque Pro Release Anticavity, Antigingivitis, and Antisensitivity Whitening Toothpaste, 3.0 OZ",8.27854E+11,,8.29,7.34,COLGATE-PALM,ORAL CARE - TOOTHPASTE,3,24.87,CVS
"Colgate Optic White Express Teeth Whitening Pen, 35 Treatments, 0.08 OZ",8.27854E+11,,39.99,24.99,COLGATE-PALM,ORAL CARE - DENTAL ACCESSORIES,1,39.99,CVS
Colgate Optic White ComfortFit LED Teeth Whitening Kit,8.27854E+11,,79.99,49.99,COLGATE-PALM,ORAL CARE - DENTAL ACCESSORIES,1,79.99,CVS
Brut Classic Splash-On Classic Fragrance,8.27755E+11,,8.29,4.51,HRB BRANDS,SHAVE - CREAMS,7,58.03,CVS
Sea Breeze Sensitive Skin Astringent,8.27755E+11,,5.99,3.61,HRB BRANDS,SKIN CARE - ACNE,10,59.9,Walgreens
Blink For Soft and RGP Contact Lenses,8.27444E+11,,7.99,5.22,BAUSCH HLT,EYE CARE PRODUCTS,0.34,2.7166,Walgreens
Blink For Soft and RGP Contact Lenses,8.27444E+11,,7.99,5.22,BAUSCH HLT,EYE CARE PRODUCTS,0.34,2.7166,Walgreens
"Cake The Curl Whip, Whipped Curl Mousse",8.23168E+11,,10.99,8.45,NAT/BOUNTY,HAIR CARE - SHAMPOO/CONDITIONER,8.4,92.316,Walgreens
Cake The Hold Out Flexy Hold Hair Spray,8.23168E+11,,10.99,9.3,BRIGGS,HAIR CARE - STYLING,5.6,61.544,Walgreens
Cake The Hold Out Flexy Hold Hair Spray,8.23168E+11,,10.99,7.65,NAT/BOUNTY,HAIR CARE - STYLING,5.6,61.544,Walgreens
Drive Medical Over Door Exercise Pulley Silver,8.22383E+11,,19.99,8.08,DRIVE MED,HOME HEALTH CARE,1,19.99,Walgreens
"Children's Mylicon All-in-One Tummy Relief for Kids, Bubble Gum Flavor, 4 OZ",8.19903E+11,,8.29,4.2,CARLIN CNSMR,DIGESTIVE - LOWER GI,4,33.16,CVS
"Mylanta Maximum Strength Antacid + Anti-Gas Liquid, Classic",8.19903E+11,,2.99,1.99,CARLIN CNSMR,DIGESTIVE - UPPER GI,3.4,10.166,CVS
"Mylanta Coat & Cool Liquid Antacid + Anti-Gas Relief, Chocolate Mint Flavor, 12 OZ",8.19903E+11,,11.49,5.44,CARLIN CNSMR,DIGESTIVE - UPPER GI,12,137.88,CVS
Mylanta Tonight Liquid Antacid + Anti-Gas Relief,8.19903E+11,,11.49,5.44,CARLIN CNSMR,DIGESTIVE - UPPER GI,12,137.88,CVS
Mylanta Maximum Strength Liquid Antacid + Anti-Gas Relief,8.19903E+11,,11.49,5.04,INFIRST HLTH,DIGESTIVE - UPPER GI,12,137.88,CVS
Mylanta Maximum Strength Liquid Antacid Vanilla Caramel,8.19903E+11,,10.99,5.04,INFIRST HLTH,DIGESTIVE - UPPER GI,12,131.88,Walgreens
Mylanta Maximum Strength Liquid Antacid Classic,8.19903E+11,,10.99,5.04,INFIRST HLTH,DIGESTIVE - UPPER GI,12,131.88,Walgreens
"Mylicon Infant Gas Relief Drops Dye Free, .5 OZ",8.19903E+11,,9.99,4.35,CARLIN CNSMR,DIGESTIVE - LOWER GI,0.5,4.995,CVS
Mylicon Infant Gas Relief Drops Dye Free,8.19903E+11,,9.49,4.35,CARLIN CNSMR,DIGESTIVE - LOWER GI,0.5,4.745,Walgreens
Mylicon Infant Gas Relief Drops,8.19903E+11,,11.99,7.4,CARLIN CNSMR,DIGESTIVE - LOWER GI,1,11.99,Walgreens
Mylicon Infant Gas Relief Drops,8.19903E+11,,11.99,7.4,CARLIN CNSMR,DIGESTIVE - LOWER GI,1,11.99,Walgreens
"Mylicon Infant Gas Relief Drops Original, 1 OZ",8.19903E+11,,12.99,7.4,CARLIN CNSMR,DIGESTIVE - LOWER GI,1,12.99,CVS
Mylicon Infant Gas Relief Drops Original,8.19903E+11,,11.99,7.4,CARLIN CNSMR,DIGESTIVE - LOWER GI,1,11.99,Walgreens
"HappyBaby Organic Teethers, 12 CT",8.19573E+11,,4.99,3.12,O-CEDAR,BABY PRODUCTS,12,59.88,CVS
"hello kids Magical Mermaid Anticavity Fluoride Toothpaste, Orange Dreamsicle Natural Flavor, Ages 2+",8.19156E+11,,6.49,3.9,HELLO-PRO,ORAL CARE - TOOTHPASTE,4.2,27.258,CVS
"hello Unicorn Aluminum Free 24-Hour Deodorant Stick, Shea Butter, 2.6 OZ",8.19156E+11,,7.99,5.15,HELLO-PRO,DEODORANTS,2.6,20.774,CVS
"hello 24-Hour Deodorant Stick, Sage + Eucalyptus, 2.6 OZ",8.19156E+11,,7.99,5.15,HELLO-PRO,DEODORANTS,2.6,20.774,CVS
"hello 24-Hour Deodorant Stick, Sweet Coconut, Shea Butter, 2.6 OZ",8.19156E+11,,7.99,5.15,HELLO-PRO,DEODORANTS,2.6,20.774,CVS
"hello Kids Unicorn Sparkle Fluoride Toothpaste for ages 2+, Bubble Gum",8.19156E+11,,5.79,3.9,HELLO-PRO,ORAL CARE - TOOTHPASTE,4.2,24.318,CVS
"hello 24-Hour Deodorant Stick, Clean + Fresh, 2.6 OZ",8.19156E+11,,7.99,5.15,HELLO-PRO,DEODORANTS,2.6,20.774,CVS
"Hello Activated Charcoal Whitening Fluoride Toothpaste, 4 OZ",8.19156E+11,,7.99,4.51,HELLO-PRO,ORAL CARE - TOOTHPASTE,4,31.96,CVS
"Hello Kids Fluoride Free Mouthwash, Natural Watermelon, 16 OZ",8.19156E+11,,5.99,3.76,HELLO-PRO,BABY PRODUCTS,15.9,95.241,CVS
Prunelax Ciruelax Minitabs Coated Tablets,8.18951E+11,,21.49,11.6,GARDEN HOUSE,DIGESTIVE - LOWER GI,120,2578.8,CVS
"Nailtopia Nail Color, Do You Blue",8.18881E+11,,9.99,5.5,UNIV NUTR,COSMETICS - NAILS,1,9.99,CVS
"Nailtopia Nail Color, Ride or Die",8.18881E+11,,9.99,9.49,UNIV NUTR,COSMETICS - NAILS,1,9.99,CVS
"Arches & Halos Felt Tip Pen, Neutral Brown",8.18881E+11,,12.99,6.98,NOVARTIS,COSMETICS-EYE,1,12.99,CVS
"Arches & Halos Microblading Pen, Espresso",8.18881E+11,,12.99,7.9,MABIS HEALTH,COSMETICS-EYE,1,12.99,CVS
"Arches & Halos Microblading Pen, Mocha Blonde",8.18881E+11,,12.99,7.9,MABIS HEALTH,COSMETICS-EYE,1,12.99,CVS
"Nailtopia Nail Color, Dynasty",8.18881E+11,,9.99,9.49,UNIV NUTR,COSMETICS - NAILS,1,9.99,CVS
"Nailtopia Nail Color, Spill The Juice",8.18881E+11,,9.99,9.6,UNIV NUTR,COSMETICS - NAILS,1,9.99,CVS
"Nailtopia Nail Color, Tropinail",8.18881E+11,,9.99,9.49,UNIV NUTR,COSMETICS - NAILS,0.41,4.0959,CVS
"Arches & Halos Duo Luxury Brow Powder, Mocha Blonde",8.18881E+11,,9.99,4.8,ALWYN COMP,COSMETICS-EYE,1,9.99,CVS
"Arches & Halos Micro Defining Brow Pencil, Charcoal",8.18881E+11,,12.99,11.9,BRIGGS,COSMETICS-EYE,1,12.99,CVS
"Arches & Halos Micro Defining Brow Pencil, Espresso",8.18881E+11,,12.99,5.9,MABIS HEALTH,COSMETICS-EYE,1,12.99,CVS
"Arches & Halos Micro Defining Brow Pencil, Dark Brown",8.18881E+11,,12.99,5.9,MABIS HEALTH,COSMETICS-EYE,1,12.99,CVS
"Arches & Halos Micro Defining Brow Pencil, Warm Brown",8.18881E+11,,12.99,5.9,MABIS HEALTH,COSMETICS-EYE,1,12.99,CVS
Crane Milk Storage Bags - 30 Bags,8.18767E+11,,17.69,7.8,CRANE USA,BABY PRODUCTS,1,17.69,CVS
Crane 4-In-1 Top Fill 1 Gallon Cool Mist Humidifier with Sound Machine,8.18767E+11,,69.49,35.5,CRANE USA,HOME HEALTH CARE,1,69.49,CVS
Crane Electric Breast Pump,8.18767E+11,,149.99,88,CRANE USA,BABY PRODUCTS,1,149.99,CVS
Crane Lactation Massager - Cordless,8.18767E+11,,39.99,21,CRANE USA,BABY PRODUCTS,1,39.99,CVS
"Crane HEPA Air Purifier, 300 Sq Ft. Coverage, Compact",8.18767E+11,,75.99,48.5,CRANE USA,HOME HEALTH CARE,1,75.99,CVS
Crane USA Vapor Pads for Corded Personal Steam Inhaler,8.18767E+11,,12.99,6.55,CRANE USA,HOME HEALTH CARE,12,155.88,Walgreens
Crane Sinus Inhaler,8.18767E+11,,58.99,29.5,CRANE USA,HOME HEALTH CARE,1,58.99,CVS
Crane 0.5 Gallon Warm Mist Humidifier,8.18767E+11,,48.49,29.5,CRANE USA,HOME HEALTH CARE,1,48.49,CVS
"Crane USA Vapor Pads for Personal Steam Inhaler Menthol, Peppermint, Eucalyptus, Lemon",8.18767E+11,,12.99,6.3,CRANE USA,HOME HEALTH CARE,12,155.88,Walgreens
Crane Cordless Rechargeable Warm and Cool Mist Inhaler,8.18767E+11,,91.99,60,CRANE USA,HOME HEALTH CARE,1,91.99,CVS
Crane USA Cordless Warm & Cool Mist Personal Steam Inhaler White,8.18767E+11,,99.99,60,CRANE USA,HOME HEALTH CARE,1,99.99,Walgreens
Crane Tritan Baby Bottles - 2 Pack,8.18767E+11,,17.69,8.55,CRANE USA,BABY PRODUCTS,1,17.69,CVS
Crane true-HEPA Air Purifier,8.18767E+11,,106.99,72,CRANE USA,HOME HEALTH CARE,1,106.99,CVS
Crane true-HEPA Air Purifier,8.18767E+11,,106.99,72,CRANE USA,HOME HEALTH CARE,1,106.99,CVS
"Crane true-HEPA Air Purifier, 500 Sq Ft. Ultra Premium",8.18767E+11,,194.99,121,CRANE USA,HOME HEALTH CARE,500,97495,CVS
Crane Personal 0.2 Gallon Ultrasonic Cool Mist Humidifier - Blue/White,8.18767E+11,,37.49,21,CRANE USA,HOME HEALTH CARE,1,37.49,CVS
Crane Mini Adorable 0.5 Gallon Ultrasonic Cool Mist Humidifier,8.18767E+11,,48.49,27.95,CRANE USA,HOME HEALTH CARE,1,48.49,CVS
Crane 2-in-1 Warm Mist Humidifier & Steam Inhaler,8.18767E+11,,74.99,32,CRANE USA,HOME HEALTH CARE,1,74.99,CVS
Crane Drop 1 Gallon Ultrasonic Cool Mist Humidifier,8.18767E+11,,69.99,31,CRANE USA,HOME HEALTH CARE,1,69.99,CVS
Crane Droplet 0.5 Gallon Ultrasonic Cool Mist Humidifier,8.18767E+11,,48.49,29.5,CRANE USA,HOME HEALTH CARE,1,48.49,CVS
Force Factor Modern Mushrooms Soft Chews Cinnamon Roll,8.18594E+11,,19.99,15.95,RUSSL STOVER,"VITAMINS, MINERALS & SUPPLEMENTS",60,1199.4,Walgreens
Force Factor Better Turmeric Soft Chews Fruit Splash,8.18594E+11,,19.99,8.11,3M,"VITAMINS, MINERALS & SUPPLEMENTS",60,1199.4,Walgreens
Force Factor Smarter Greens Soft Chews Summer Berry,8.18594E+11,,19.99,12.38,NUTRACLICK,"VITAMINS, MINERALS & SUPPLEMENTS",60,1199.4,Walgreens
"Force Factor Total Beets Powder, Pomegranate Berry Flavor, 7.4 OZ",8.18594E+11,,21.99,10.12,NUTRACLICK,"VITAMINS, MINERALS & SUPPLEMENTS",7.4,162.726,CVS
Force Factor Total Beets Powder,8.18594E+11,,19.99,10.12,NUTRACLICK,"VITAMINS, MINERALS & SUPPLEMENTS",7.4,147.926,Walgreens
Force Factor Total Beets Powder,8.18594E+11,,19.99,10.12,NUTRACLICK,"VITAMINS, MINERALS & SUPPLEMENTS",7.4,147.926,Walgreens
Force Factor Total Beets Chews,8.18594E+11,,22.99,12.77,NUTRACLICK,"VITAMINS, MINERALS & SUPPLEMENTS",60,1379.4,Walgreens
Force Factor Longjack Tongkat Ali Capsules,8.18594E+11,,14.99,8.95,PHARMAVITE,"VITAMINS, MINERALS & SUPPLEMENTS",30,449.7,Walgreens
Force Factor Probioslim Extra Strength,8.18594E+11,,28.99,16.29,NUTRACLICK,DIGESTIVE - LOWER GI,120,3478.8,Walgreens
Force Factor Score XXL Nitric Oxide Booster,8.18594E+11,,14.99,8.01,NUTRACLICK,SEXUAL WELLNESS,30,449.7,Walgreens
"Force Factor Forebrain Capsules, 30 CT",8.18594E+11,,23.99,13.49,NUTRACLICK,"VITAMINS, MINERALS & SUPPLEMENTS",30,719.7,CVS
"Force Factor SCORE! Premium Libido Enhancer, 76 CT",8.18594E+11,,31.79,15,NUTRACLICK,SEXUAL WELLNESS,76,2416.04,CVS
Force Factor Score! Capsules,8.18594E+11,,29.99,15,NUTRACLICK,SEXUAL WELLNESS,76,2279.24,Walgreens
"Force Factor Test X180 Alpha, 60 CT",8.18594E+11,,31.49,17.49,NUTRACLICK,WT CTL/NUTRITION - CANDY TABLETS,60,1889.4,CVS
Force Factor Test x180 Ignite,8.18594E+11,,29.99,17.49,NUTRACLICK,WT CTL/NUTRITION - CANDY TABLETS,60,1799.4,Walgreens
Force Factor Prostate,8.18594E+11,,29.99,15.78,NUTRACLICK,"VITAMINS, MINERALS & SUPPLEMENTS",60,1799.4,Walgreens
Honest Bubble Bath Dreamy Lavender,8.1781E+11,,14.49,8,PALCO LABS,HAIR CARE - SHAMPOO/CONDITIONER,12,173.88,Walgreens
"Honest Face & Body Lotion, Lavender Dreamy Lavender",8.1781E+11,,12.49,8.11,ABBOTT NUTR,BABY PRODUCTS,8.5,106.165,Walgreens
Honest Conditioning Detangler,8.1781E+11,,7.99,5.5,PALCO LABS,HAIR CARE - SHAMPOO/CONDITIONER,4,31.96,Walgreens
Cantu Avocado Hydrating Curling Cream,8.17513E+11,,8.29,4.19,PDC BRANDS,HAIR CARE - STYLING,12,99.48,CVS
Cantu Avocado Hydrating Conditioner,8.17513E+11,,7.79,4.79,PDC BRANDS,HAIR CARE - SHAMPOO/CONDITIONER,13.5,105.165,CVS
"Cantu Flaxseed Hairwax Smoothing Stick, 2 OZ",8.17513E+11,,7.29,4.79,PDC BRANDS,HAIR CARE - STYLING,2,14.58,CVS
Cantu Flaxseed Smoothing Cream Gel,8.17513E+11,,7.79,4.79,PDC BRANDS,HAIR CARE - STYLING,16,124.64,CVS
Cantu Shea Butter Strengthening Styling Gel,8.17513E+11,,6.29,2.99,PDC BRANDS,HAIR CARE - STYLING,18.5,116.365,CVS
Cantu Shea Butter Maximum Hold Strengthening Styling Gel with Jamaican Black Castor Oil,8.17513E+11,,5.49,2.99,PDC BRANDS,HAIR CARE - STYLING,18.5,101.565,Walgreens
Cantu Shea Butter Maximum Hold Strengthening Styling Gel with Jamaican Black Castor Oil,8.17513E+11,,5.49,2.99,PDC BRANDS,HAIR CARE - STYLING,18.5,101.565,Walgreens
Cantu Shea Butter Anti-Shedding Styling Gel,8.17513E+11,,6.29,2.99,PDC BRANDS,HAIR CARE - STYLING,18.5,116.365,CVS
Cantu Shea Butter Deep Treatment Masque,8.17513E+11,,2.29,1.01,PDC BRANDS,HAIR CARE - SHAMPOO/CONDITIONER,1.75,4.0075,CVS
"Cantu Shea Butter Extra Hold Edge Stay Gel, 2.25 OZ",8.17513E+11,,7.79,3.6,PDC BRANDS,HAIR CARE - STYLING,2.25,17.5275,CVS
"Cantu Shea Butter Coil Calm Detangler, 8 OZ",8.17513E+11,,8.29,4.19,PDC BRANDS,HAIR CARE - SHAMPOO/CONDITIONER,8,66.32,CVS
"Cantu Hydrating Cream Conditioner, 13.5 OZ",8.17513E+11,,8.29,4.19,PDC BRANDS,HAIR CARE - SHAMPOO/CONDITIONER,13.5,111.915,CVS
"Cantu Cleansing Cream Shampoo, 13.5 OZ",8.17513E+11,,8.29,4.19,PDC BRANDS,HAIR CARE - SHAMPOO/CONDITIONER,13.5,111.915,CVS
